area,lat,lng
Southwest,34.0197,-118.3229
Central,33.9878,-118.2446
N Hollywood,34.172,-118.386
Mission,34.2822,-118.4533
Devonshire,34.2652,-118.5343
Northeast,34.1175,-118.2391
Harbor,33.7757,-118.2776
Van Nuys,34.1175,-118.4409
West Valley,34.1811,-118.5206
West LA,34.1402,-118.489
Wilshire,34.1175,-118.3476
Pacific,33.9844,-118.441
Rampart,34.0663,-118.2686
77th Street,33.961,-118.3053
Hollenbeck,34.0663,-118.1952
Southeast,33.9365,-118.2667
Hollywood,34.1061,-118.3372
Newton,34.0114,-118.2576
Foothill,34.2584,-118.3517
Olympic,34.0612,-118.3015
Topanga,34.1925,-118.6112
